term: a, termFreq = 6523, docCount = 2081
term: discretely, termFreq = 1, docCount = 1
term: discretion, termFreq = 1, docCount = 1
term: discretized, termFreq = 1, docCount = 1
term: discriminant, termFreq = 1, docCount = 1
term: discriminants, termFreq = 1, docCount = 1
term: discriminate, termFreq = 1, docCount = 1
term: discriminating, termFreq = 1, docCount = 1
term: discrimination, termFreq = 10, docCount = 6
term: discuss, termFreq = 11, docCount = 11
term: discussed, termFreq = 311, docCount = 278
term: discusses, termFreq = 42, docCount = 40
term: discussing, termFreq = 5, docCount = 4
term: discussion, termFreq = 56, docCount = 47
term: discussions, termFreq = 2, docCount = 2
term: disease, termFreq = 1, docCount = 1
term: disjoint, termFreq = 3, docCount = 3
term: disk, termFreq = 71, docCount = 30
term: disks, termFreq = 9, docCount = 6
term: dismissed, termFreq = 1, docCount = 1
term: disorganization, termFreq = 1, docCount = 1
term: dispatch, termFreq = 2, docCount = 1
term: dispatcher, termFreq = 3, docCount = 1
term: dispatching, termFreq = 3, docCount = 2
term: dispersed, termFreq = 1, docCount = 1
term: dispersing, termFreq = 1, docCount = 1
term: dispersion, termFreq = 7, docCount = 2
term: displace, termFreq = 1, docCount = 1
term: displaceable, termFreq = 1, docCount = 1
term: displacement, termFreq = 3, docCount = 3
term: displacements, termFreq = 2, docCount = 1
term: display, termFreq = 131, docCount = 51
term: displayed, termFreq = 18, docCount = 16
term: displaying, termFreq = 6, docCount = 6
term: displays, termFreq = 17, docCount = 13
term: disposal, termFreq = 2, docCount = 2
term: disposed, termFreq = 1, docCount = 1
term: dissimilarities, termFreq = 1, docCount = 1
term: dissimilarity, termFreq = 2, docCount = 2
term: distance, termFreq = 11, docCount = 10
term: distances, termFreq = 2, docCount = 2
term: distinct, termFreq = 15, docCount = 13
term: distinction, termFreq = 2, docCount = 2
term: distinctions, termFreq = 1, docCount = 1
term: distinctive, termFreq = 4, docCount = 4
term: distinctly, termFreq = 1, docCount = 1
term: distinguish, termFreq = 5, docCount = 5
term: distinguishable, termFreq = 3, docCount = 3
term: distinguished, termFreq = 5, docCount = 5
term: distinguishing, termFreq = 2, docCount = 2
term: distorted, termFreq = 2, docCount = 2
term: distractions, termFreq = 1, docCount = 1
term: distributed, termFreq = 52, docCount = 27
term: distributing, termFreq = 1, docCount = 1
term: distribution, termFreq = 149, docCount = 83
term: distributions, termFreq = 38, docCount = 24
term: districts, termFreq = 2, docCount = 1
term: ditions, termFreq = 1, docCount = 1
term: ditran, termFreq = 3, docCount = 1
term: diverge, termFreq = 1, docCount = 1
term: divergence, termFreq = 1, docCount = 1
term: diverges, termFreq = 2, docCount = 2
term: diverse, termFreq = 11, docCount = 11
term: diversity, termFreq = 1, docCount = 1
term: divide, termFreq = 9, docCount = 6
term: divided, termFreq = 23, docCount = 22
term: dividend, termFreq = 1, docCount = 1
term: dividing, termFreq = 3, docCount = 3
term: division, termFreq = 60, docCount = 35
term: divisionless, termFreq = 2, docCount = 2
term: divisions, termFreq = 1, docCount = 1
term: divisor, termFreq = 20, docCount = 12
term: divisors, termFreq = 10, docCount = 5
term: dixon, termFreq = 3, docCount = 3
term: djorup, termFreq = 1, docCount = 1
term: dmm, termFreq = 6, docCount = 6
term: do, termFreq = 71, docCount = 60
term: dobbs, termFreq = 1, docCount = 1
term: dock, termFreq = 1, docCount = 1
term: doctoral, termFreq = 2, docCount = 2
term: doctorate, termFreq = 1, docCount = 1
term: doctrine, termFreq = 1, docCount = 1
term: doctrines, termFreq = 1, docCount = 1
term: document, termFreq = 29, docCount = 17
term: documentation, termFreq = 34, docCount = 25
term: documented, termFreq = 2, docCount = 2
term: documenting, termFreq = 1, docCount = 1
term: documents, termFreq = 16, docCount = 11
term: dodd, termFreq = 2, docCount = 2
term: does, termFreq = 52, docCount = 49
term: doing, termFreq = 6, docCount = 6
term: domain, termFreq = 6, docCount = 5
term: domains, termFreq = 12, docCount = 10
term: dominance, termFreq = 2, docCount = 1
term: dominant, termFreq = 4, docCount = 4
term: dominate, termFreq = 3, docCount = 3
term: dominated, termFreq = 2, docCount = 2
term: dominates, termFreq = 1, docCount = 1
term: domingo, termFreq = 2, docCount = 2
term: domino, termFreq = 1, docCount = 1
term: dominoes, termFreq = 4, docCount = 1
term: don, termFreq = 1, docCount = 1
term: donaghey, termFreq = 1, docCount = 1
term: donally, termFreq = 1, docCount = 1
term: donated, termFreq = 1, docCount = 1
term: done, termFreq = 24, docCount = 22
term: donnelly, termFreq = 3, docCount = 3
term: donovan, termFreq = 1, docCount = 1
term: dor, termFreq = 1, docCount = 1
term: doran, termFreq = 1, docCount = 1
term: dorrer, termFreq = 2, docCount = 2
term: dot, termFreq = 8, docCount = 6
term: dots, termFreq = 1, docCount = 1
term: double, termFreq = 15, docCount = 12
term: doubleexponential, termFreq = 1, docCount = 1
term: doubly, termFreq = 9, docCount = 6
term: doubt, termFreq = 1, docCount = 1
term: doubtless, termFreq = 1, docCount = 1
term: doubts, termFreq = 1, docCount = 1
term: douglas, termFreq = 2, docCount = 2
term: doule, termFreq = 1, docCount = 1
term: dow, termFreq = 1, docCount = 1
term: down, termFreq = 27, docCount = 21
term: downhill, termFreq = 5, docCount = 3
term: dozen, termFreq = 3, docCount = 3
term: dpl, termFreq = 1, docCount = 1
term: dps, termFreq = 3, docCount = 1
term: dr, termFreq = 1, docCount = 1
term: drafting, termFreq = 2, docCount = 2
term: draftsmen, termFreq = 1, docCount = 1
term: dramatic, termFreq = 1, docCount = 1
term: drastic, termFreq = 1, docCount = 1
term: drastically, termFreq = 2, docCount = 2
term: drath, termFreq = 1, docCount = 1
term: draw, termFreq = 3, docCount = 3
term: drawback, termFreq = 3, docCount = 3
term: drawbacks, termFreq = 3, docCount = 3
term: drawing, termFreq = 15, docCount = 12
term: drawings, termFreq = 6, docCount = 4
term: drawn, termFreq = 22, docCount = 20
term: draws, termFreq = 1, docCount = 1
term: drayton, termFreq = 1, docCount = 1
term: drew, termFreq = 1, docCount = 1
term: dribble, termFreq = 2, docCount = 1
term: driessen, termFreq = 1, docCount = 1
term: driscoll, termFreq = 2, docCount = 2
term: drive, termFreq = 19, docCount = 10
term: driven, termFreq = 28, docCount = 17
term: driver, termFreq = 1, docCount = 1
term: drivers, termFreq = 1, docCount = 1
term: drives, termFreq = 6, docCount = 4
term: driving, termFreq = 1, docCount = 1
term: dropout, termFreq = 1, docCount = 1
term: dropped, termFreq = 2, docCount = 2
term: dropper, termFreq = 1, docCount = 1
term: drops, termFreq = 4, docCount = 3
term: drug, termFreq = 1, docCount = 1
term: drum, termFreq = 42, docCount = 21
term: drums, termFreq = 3, docCount = 2
term: dt, termFreq = 1, docCount = 1
term: dtss, termFreq = 1, docCount = 1
term: du, termFreq = 1, docCount = 1
term: dual, termFreq = 19, docCount = 14
term: duality, termFreq = 1, docCount = 1
term: dubay, termFreq = 1, docCount = 1
term: duda, termFreq = 1, docCount = 1
term: due, termFreq = 24, docCount = 22
term: duhne, termFreq = 2, docCount = 2
term: duke, termFreq = 1, docCount = 1
term: duley, termFreq = 1, docCount = 1
term: dulley, termFreq = 1, docCount = 1
term: duly, termFreq = 1, docCount = 1
term: dumey, termFreq = 1, docCount = 1
term: dummy, termFreq = 3, docCount = 3
term: dump, termFreq = 3, docCount = 2
term: dumped, termFreq = 1, docCount = 1
term: dumps, termFreq = 1, docCount = 1
term: duncan, termFreq = 1, docCount = 1
term: dunham, termFreq = 5, docCount = 5
term: duong, termFreq = 1, docCount = 1
term: duplex, termFreq = 16, docCount = 4
term: duplicate, termFreq = 1, docCount = 1
term: duplicated, termFreq = 1, docCount = 1
term: dupuy, termFreq = 1, docCount = 1
term: duration, termFreq = 2, docCount = 2
term: durations, termFreq = 1, docCount = 1
term: during, termFreq = 64, docCount = 60
term: durstenfeld, termFreq = 1, docCount = 1
term: dutch, termFreq = 3, docCount = 1
term: dutton, termFreq = 2, docCount = 2
term: duval, termFreq = 2, docCount = 2
term: dwelling, termFreq = 1, docCount = 1
term: dwyer, termFreq = 3, docCount = 3
term: dx, termFreq = 1, docCount = 1
term: dynamic, termFreq = 117, docCount = 74
term: dynamically, termFreq = 9, docCount = 9
term: dynamics, termFreq = 8, docCount = 4
term: dzubak, termFreq = 1, docCount = 1
term: e, termFreq = 463, docCount = 414
term: each, termFreq = 266, docCount = 202
term: earley, termFreq = 5, docCount = 5
term: earlier, termFreq = 22, docCount = 20
term: earliest, termFreq = 2, docCount = 2
term: early, termFreq = 21, docCount = 21
term: earned, termFreq = 2, docCount = 2
term: earth, termFreq = 1, docCount = 1
term: ease, termFreq = 24, docCount = 22
term: easier, termFreq = 6, docCount = 5
term: easiest, termFreq = 1, docCount = 1
term: easily, termFreq = 45, docCount = 45
term: easing, termFreq = 1, docCount = 1
term: east, termFreq = 1, docCount = 1
term: easter, termFreq = 2, docCount = 2
term: eastern, termFreq = 2, docCount = 2
term: eastman, termFreq = 2, docCount = 2
term: easton, termFreq = 2, docCount = 2
term: easy, termFreq = 46, docCount = 41
term: eating, termFreq = 1, docCount = 1
term: eaves, termFreq = 2, docCount = 2
term: eavesdropping, termFreq = 1, docCount = 1
term: eberlein, termFreq = 2, docCount = 2
term: echo, termFreq = 1, docCount = 1
term: echoing, termFreq = 3, docCount = 2
term: eckert, termFreq = 1, docCount = 1
term: eckhouse, termFreq = 1, docCount = 1
term: ecma, termFreq = 3, docCount = 2
term: ecological, termFreq = 2, docCount = 1
term: econometric, termFreq = 1, docCount = 1
term: econometrics, termFreq = 1, docCount = 1
term: economic, termFreq = 15, docCount = 14
term: economical, termFreq = 10, docCount = 10
term: economically, termFreq = 6, docCount = 6
term: economics, termFreq = 6, docCount = 5
term: economies, termFreq = 5, docCount = 4
term: economising, termFreq = 2, docCount = 2
term: economists, termFreq = 1, docCount = 1
term: economy, termFreq = 11, docCount = 9
term: ecosystem, termFreq = 1, docCount = 1
term: ecosystems, termFreq = 3, docCount = 1
term: ecs, termFreq = 1, docCount = 1
term: ed, termFreq = 2, docCount = 2
term: edgar, termFreq = 1, docCount = 1
term: edge, termFreq = 21, docCount = 11
term: edges, termFreq = 23, docCount = 14
term: edit, termFreq = 3, docCount = 3
term: edited, termFreq = 5, docCount = 5
term: editing, termFreq = 50, docCount = 27
term: editor, termFreq = 14, docCount = 11
term: editorial, termFreq = 1, docCount = 1
term: editors, termFreq = 2, docCount = 2
term: edmundson, termFreq = 2, docCount = 2
term: edp, termFreq = 9, docCount = 6
term: educate, termFreq = 1, docCount = 1
term: educating, termFreq = 1, docCount = 1
term: education, termFreq = 92, docCount = 51
term: educational, termFreq = 20, docCount = 18
term: educationally, termFreq = 1, docCount = 1
term: edwards, termFreq = 2, docCount = 2
term: eeg, termFreq = 2, docCount = 1
term: effect, termFreq = 49, docCount = 39
term: effected, termFreq = 1, docCount = 1
term: effecting, termFreq = 1, docCount = 1
term: effective, termFreq = 46, docCount = 42
term: effectively, termFreq = 16, docCount = 16
term: effectiveness, termFreq = 33, docCount = 30
term: effects, termFreq = 37, docCount = 34
term: efficacy, termFreq = 1, docCount = 1
term: efficiencies, termFreq = 5, docCount = 3
term: efficiency, termFreq = 91, docCount = 73
term: efficient, termFreq = 159, docCount = 136
term: efficiently, termFreq = 27, docCount = 26
term: effigy, termFreq = 1, docCount = 1
term: effort, termFreq = 32, docCount = 27
term: efforts, termFreq = 9, docCount = 9
term: efroymson, termFreq = 1, docCount = 1
term: eft, termFreq = 27, docCount = 7
term: efts, termFreq = 6, docCount = 2
term: egler, termFreq = 1, docCount = 1
term: ehrich, termFreq = 1, docCount = 1
term: ehrlich, termFreq = 6, docCount = 6
term: ehrman, termFreq = 2, docCount = 2
term: ei, termFreq = 3, docCount = 2
term: eickel, termFreq = 2, docCount = 2
term: eidson, termFreq = 1, docCount = 1
term: eigen, termFreq = 5, docCount = 4
term: eigenvalue, termFreq = 9, docCount = 6
term: eigenvalues, termFreq = 45, docCount = 31
term: eigenvector, termFreq = 2, docCount = 1
term: eigenvectors, termFreq = 22, docCount = 15
term: eight, termFreq = 7, docCount = 7
term: eighth, termFreq = 1, docCount = 1
term: eighty, termFreq = 1, docCount = 1
term: ein, termFreq = 1, docCount = 1
term: einarsson, termFreq = 4, docCount = 4
term: eisenberg, termFreq = 1, docCount = 1
term: eisenman, termFreq = 1, docCount = 1
term: eisenstat, termFreq = 1, docCount = 1
term: eisman, termFreq = 1, docCount = 1
term: eisner, termFreq = 1, docCount = 1
term: either, termFreq = 54, docCount = 50
term: el, termFreq = 2, docCount = 1
term: elaborate, termFreq = 6, docCount = 6
term: elaborates, termFreq = 1, docCount = 1
term: elaboration, termFreq = 1, docCount = 1
term: elapsed, termFreq = 3, docCount = 3
term: elastic, termFreq = 1, docCount = 1
term: elder, termFreq = 1, docCount = 1
term: election, termFreq = 1, docCount = 1
term: elective, termFreq = 1, docCount = 1
term: electric, termFreq = 1, docCount = 1
term: electrical, termFreq = 4, docCount = 3
term: electrocardiogram, termFreq = 4, docCount = 3
term: electrocardiograms, termFreq = 3, docCount = 2
term: electrocardiograph, termFreq = 1, docCount = 1
term: electrocardiographer, termFreq = 1, docCount = 1
term: electrocardiographic, termFreq = 1, docCount = 1
term: electrodynamics, termFreq = 2, docCount = 1
term: electron, termFreq = 5, docCount = 3
term: electronic, termFreq = 19, docCount = 14
term: electronics, termFreq = 3, docCount = 3
term: electrostatic, termFreq = 1, docCount = 1
term: elegance, termFreq = 1, docCount = 1
term: elegant, termFreq = 7, docCount = 7
term: element, termFreq = 26, docCount = 23
term: elemental, termFreq = 1, docCount = 1
term: elementary, termFreq = 47, docCount = 36
term: elements, termFreq = 65, docCount = 49
term: elementshen, termFreq = 1, docCount = 1
term: elettronica, termFreq = 1, docCount = 1
term: elettrotecnica, termFreq = 1, docCount = 1
term: elevation, termFreq = 1, docCount = 1
term: eleven, termFreq = 1, docCount = 1
term: elicit, termFreq = 1, docCount = 1
term: eligibility, termFreq = 1, docCount = 1
term: eliminate, termFreq = 15, docCount = 15
term: eliminated, termFreq = 13, docCount = 13
term: eliminates, termFreq = 4, docCount = 4
term: eliminating, termFreq = 6, docCount = 6
term: elimination, termFreq = 46, docCount = 26
term: eliminations, termFreq = 1, docCount = 1
term: eliza, termFreq = 7, docCount = 3
term: ellenberger, termFreq = 2, docCount = 2
term: elliot, termFreq = 2, docCount = 2
term: elliott, termFreq = 2, docCount = 2
term: ellipsis, termFreq = 1, docCount = 1
term: ellipsoid, termFreq = 1, docCount = 1
term: elliptic, termFreq = 21, docCount = 19
term: ellipticboundary, termFreq = 1, docCount = 1
term: ellis, termFreq = 4, docCount = 4
term: else, termFreq = 19, docCount = 10
term: elsewhere, termFreq = 4, docCount = 4
term: elucidated, termFreq = 1, docCount = 1
term: elucidation, termFreq = 1, docCount = 1
term: elusive, termFreq = 1, docCount = 1
term: em, termFreq = 2, docCount = 1
term: emanating, termFreq = 1, docCount = 1
term: embedded, termFreq = 13, docCount = 11
term: embedding, termFreq = 6, docCount = 6
term: embeddings, termFreq = 1, docCount = 1
term: embezzlement, termFreq = 1, docCount = 1
term: embodied, termFreq = 2, docCount = 2
term: embodies, termFreq = 2, docCount = 2
term: embody, termFreq = 1, docCount = 1
term: embodying, termFreq = 2, docCount = 2
term: embosser, termFreq = 1, docCount = 1
term: embrace, termFreq = 6, docCount = 5
term: emden, termFreq = 3, docCount = 3
term: emerge, termFreq = 2, docCount = 2
term: emerged, termFreq = 1, docCount = 1
term: emergence, termFreq = 2, docCount = 2
term: emerging, termFreq = 3, docCount = 3
term: emery, termFreq = 1, docCount = 1
term: eminently, termFreq = 1, docCount = 1
term: emotional, termFreq = 1, docCount = 1
term: emphasis, termFreq = 36, docCount = 35
term: emphasize, termFreq = 1, docCount = 1
term: emphasized, termFreq = 5, docCount = 5
term: emphasizes, termFreq = 1, docCount = 1
term: emphasizing, termFreq = 4, docCount = 4
term: empirical, termFreq = 40, docCount = 37
term: empirically, termFreq = 8, docCount = 8
term: employ, termFreq = 5, docCount = 5
term: employed, termFreq = 31, docCount = 29
term: employing, termFreq = 12, docCount = 11
term: employment, termFreq = 20, docCount = 10
term: employs, termFreq = 14, docCount = 13
term: empty, termFreq = 7, docCount = 7
term: emulating, termFreq = 1, docCount = 1
term: emulation, termFreq = 7, docCount = 2
term: emulator, termFreq = 4, docCount = 1
term: emulators, termFreq = 2, docCount = 2
term: en, termFreq = 2, docCount = 1
term: enable, termFreq = 9, docCount = 9
term: enabled, termFreq = 2, docCount = 2
term: enables, termFreq = 18, docCount = 18
term: enablesus, termFreq = 1, docCount = 1
term: enabling, termFreq = 10, docCount = 9
term: encasing, termFreq = 3, docCount = 1
term: enciphered, termFreq = 1, docCount = 1
term: enciphering, termFreq = 2, docCount = 1
term: encipherment, termFreq = 12, docCount = 2
term: enclosed, termFreq = 3, docCount = 2
term: encloses, termFreq = 1, docCount = 1
term: encode, termFreq = 1, docCount = 1
term: encoded, termFreq = 6, docCount = 5
term: encoder, termFreq = 1, docCount = 1
term: encoding, termFreq = 29, docCount = 15
term: encodings, termFreq = 3, docCount = 3
term: encompass, termFreq = 1, docCount = 1
term: encompasses, termFreq = 1, docCount = 1
term: encounter, termFreq = 1, docCount = 1
term: encountered, termFreq = 18, docCount = 18
term: encountering, termFreq = 1, docCount = 1
term: encourage, termFreq = 1, docCount = 1
term: encouraged, termFreq = 1, docCount = 1
term: encourages, termFreq = 5, docCount = 5
term: encouraging, termFreq = 3, docCount = 3
term: encrypted, termFreq = 3, docCount = 3
term: encryption, termFreq = 15, docCount = 5
term: end, termFreq = 28, docCount = 17
term: endangering, termFreq = 2, docCount = 2
term: endeavor, termFreq = 1, docCount = 1
term: endeavors, termFreq = 1, docCount = 1
term: ended, termFreq = 1, docCount = 1
term: endpoints, termFreq = 1, docCount = 1
term: ends, termFreq = 3, docCount = 3
term: enemy, termFreq = 1, docCount = 1
term: energy, termFreq = 7, docCount = 5
term: enforce, termFreq = 2, docCount = 2
term: enforced, termFreq = 2, docCount = 2
term: enforcement, termFreq = 3, docCount = 2
term: enforces, termFreq = 2, docCount = 2
term: engaged, termFreq = 1, docCount = 1
term: engel, termFreq = 2, docCount = 2
term: engendered, termFreq = 1, docCount = 1
term: engine, termFreq = 1, docCount = 1
term: engineer, termFreq = 3, docCount = 3
term: engineering, termFreq = 38, docCount = 29
term: engineers, termFreq = 1, docCount = 1
term: england, termFreq = 1, docCount = 1
term: englar, termFreq = 1, docCount = 1
term: english, termFreq = 51, docCount = 32
term: englund, termFreq = 1, docCount = 1
term: engvold, termFreq = 2, docCount = 2
term: enhance, termFreq = 2, docCount = 2
term: enhanced, termFreq = 1, docCount = 1
term: enhancement, termFreq = 6, docCount = 3
term: enhancements, termFreq = 1, docCount = 1
term: enhancing, termFreq = 2, docCount = 2
term: eniac, termFreq = 1, docCount = 1
term: enjoy, termFreq = 2, docCount = 2
term: enlarge, termFreq = 1, docCount = 1
term: enlargement, termFreq = 1, docCount = 1
term: enlist, termFreq = 1, docCount = 1
term: enormous, termFreq = 6, docCount = 6
term: enormously, termFreq = 1, docCount = 1
term: enough, termFreq = 18, docCount = 17
term: enrichment, termFreq = 1, docCount = 1
term: ensemble, termFreq = 1, docCount = 1
term: ensure, termFreq = 5, docCount = 5
term: ensures, termFreq = 2, docCount = 2
term: entail, termFreq = 1, docCount = 1
term: entailing, termFreq = 1, docCount = 1
term: entails, termFreq = 1, docCount = 1
term: entanglements, termFreq = 2, docCount = 1
term: entcaf, termFreq = 1, docCount = 1
term: entcre, termFreq = 1, docCount = 1
term: enter, termFreq = 5, docCount = 5
term: entered, termFreq = 7, docCount = 7
term: entering, termFreq = 4, docCount = 4
term: enterprise, termFreq = 2, docCount = 1
term: entire, termFreq = 23, docCount = 22
term: entirely, termFreq = 10, docCount = 10
term: entities, termFreq = 10, docCount = 7
term: entitled, termFreq = 2, docCount = 2
term: entity, termFreq = 5, docCount = 4
term: entrance, termFreq = 4, docCount = 4
term: entries, termFreq = 13, docCount = 11
term: entropy, termFreq = 5, docCount = 3
term: entry, termFreq = 54, docCount = 36
term: enumerated, termFreq = 2, docCount = 2
term: enumerating, termFreq = 4, docCount = 3
term: enumeration, termFreq = 17, docCount = 12
term: enumerative, termFreq = 3, docCount = 3
term: environment, termFreq = 85, docCount = 64
term: environmental, termFreq = 4, docCount = 1
term: environments, termFreq = 20, docCount = 18
term: envisaged, termFreq = 1, docCount = 1
term: envision, termFreq = 1, docCount = 1
term: envisioned, termFreq = 2, docCount = 2
term: eq, termFreq = 1, docCount = 1
term: equal, termFreq = 25, docCount = 21
term: equalities, termFreq = 2, docCount = 2
term: equality, termFreq = 6, docCount = 4
term: equalization, termFreq = 1, docCount = 1
term: equally, termFreq = 5, docCount = 5
term: equation, termFreq = 96, docCount = 65
term: equations, termFreq = 222, docCount = 128
term: equilibration, termFreq = 4, docCount = 4
term: equilibrium, termFreq = 3, docCount = 2
term: equipment, termFreq = 28, docCount = 24
term: equipments, termFreq = 1, docCount = 1
term: equivalence, termFreq = 16, docCount = 11
term: equivalencing, termFreq = 1, docCount = 1
term: equivalent, termFreq = 32, docCount = 28
term: era, termFreq = 1, docCount = 1
term: erase, termFreq = 1, docCount = 1
term: erased, termFreq = 1, docCount = 1
term: erasure, termFreq = 3, docCount = 1
term: eratosthenes, termFreq = 1, docCount = 1
term: ercoli, termFreq = 1, docCount = 1
term: erda, termFreq = 1, docCount = 1
term: erf, termFreq = 5, docCount = 5
term: ergodic, termFreq = 3, docCount = 1
term: erikson, termFreq = 1, docCount = 1
term: erisman, termFreq = 1, docCount = 1
term: erlang, termFreq = 2, docCount = 2
term: errata, termFreq = 5, docCount = 5
term: erroneous, termFreq = 1, docCount = 1
term: error, termFreq = 243, docCount = 137
term: errors, termFreq = 115, docCount = 71
term: ershov, termFreq = 2, docCount = 2
term: erwin, termFreq = 1, docCount = 1
term: es, termFreq = 23, docCount = 23
term: escape, termFreq = 5, docCount = 4
term: escaped, termFreq = 1, docCount = 1
term: escapes, termFreq = 1, docCount = 1
term: eschenbach, termFreq = 2, docCount = 1
term: eshed, termFreq = 1, docCount = 1
term: esope, termFreq = 2, docCount = 1
term: esopo, termFreq = 1, docCount = 1
term: especially, termFreq = 19, docCount = 19
term: essay, termFreq = 1, docCount = 1
term: essential, termFreq = 21, docCount = 20
term: essentially, termFreq = 18, docCount = 18
term: esso, termFreq = 1, docCount = 1
term: establish, termFreq = 5, docCount = 5
term: established, termFreq = 26, docCount = 24
term: establishes, termFreq = 2, docCount = 2
term: establishing, termFreq = 4, docCount = 4
term: establishment, termFreq = 9, docCount = 5
term: establishments, termFreq = 1, docCount = 1
term: estell, termFreq = 1, docCount = 1
term: estimate, termFreq = 33, docCount = 24
term: estimated, termFreq = 8, docCount = 7
term: estimates, termFreq = 35, docCount = 27
term: estimating, termFreq = 12, docCount = 10
term: estimation, termFreq = 21, docCount = 15
term: estimator, termFreq = 2, docCount = 1
term: estimators, termFreq = 1, docCount = 1
term: eswaran, termFreq = 1, docCount = 1
term: eswarran, termFreq = 1, docCount = 1
term: et, termFreq = 3, docCount = 3
term: etc, termFreq = 24, docCount = 24
term: etching, termFreq = 3, docCount = 1
term: ether, termFreq = 3, docCount = 1
term: ethernet, termFreq = 5, docCount = 1
term: ethical, termFreq = 2, docCount = 1
term: ethics, termFreq = 3, docCount = 1
term: euclidean, termFreq = 8, docCount = 5
term: euclidian, termFreq = 1, docCount = 1
term: euler, termFreq = 12, docCount = 9
term: europe, termFreq = 3, docCount = 3
term: european, termFreq = 3, docCount = 3
term: evaluate, termFreq = 12, docCount = 12
term: evaluated, termFreq = 20, docCount = 19
term: evaluates, termFreq = 4, docCount = 4
term: evaluating, termFreq = 36, docCount = 31
term: evaluation, termFreq = 153, docCount = 108
term: evaluations, termFreq = 6, docCount = 4
term: evaluator, termFreq = 1, docCount = 1
term: evans, termFreq = 11, docCount = 9
term: eve, termFreq = 1, docCount = 1
term: even, termFreq = 51, docCount = 48
term: evening, termFreq = 1, docCount = 1
term: evenly, termFreq = 1, docCount = 1
term: event, termFreq = 63, docCount = 28
term: eventcount, termFreq = 1, docCount = 1
term: eventcounts, termFreq = 3, docCount = 1
term: events, termFreq = 45, docCount = 24
term: eventual, termFreq = 2, docCount = 2
term: eventually, termFreq = 2, docCount = 2
term: ever, termFreq = 5, docCount = 5
term: everal, termFreq = 1, docCount = 1
term: every, termFreq = 30, docCount = 25
term: everyman, termFreq = 1, docCount = 1
term: evidence, termFreq = 20, docCount = 20
term: evidenced, termFreq = 1, docCount = 1
term: evident, termFreq = 1, docCount = 1
term: evoked, termFreq = 2, docCount = 2
term: evolution, termFreq = 14, docCount = 10
term: evolutionary, termFreq = 3, docCount = 3
term: evolve, termFreq = 3, docCount = 3
term: evolved, termFreq = 8, docCount = 8
term: evolving, termFreq = 2, docCount = 2
term: ewing, termFreq = 1, docCount = 1
term: exact, termFreq = 28, docCount = 25
term: exactly, termFreq = 10, docCount = 10
term: exam, termFreq = 2, docCount = 1
term: examination, termFreq = 23, docCount = 18
term: examinations, termFreq = 12, docCount = 8
term: examine, termFreq = 5, docCount = 5
term: examined, termFreq = 52, docCount = 48
term: examinedhe, termFreq = 1, docCount = 1
term: examines, termFreq = 11, docCount = 11
term: examining, termFreq = 2, docCount = 2
term: example, termFreq = 98, docCount = 93
term: examples, termFreq = 116, docCount = 110
term: examplesare, termFreq = 1, docCount = 1
term: exaples, termFreq = 1, docCount = 1
term: excavation, termFreq = 1, docCount = 1
term: exceed, termFreq = 2, docCount = 2
term: exceeding, termFreq = 2, docCount = 2
term: exceedingly, termFreq = 2, docCount = 2
term: exceeds, termFreq = 5, docCount = 5
term: excellence, termFreq = 1, docCount = 1
term: excellent, termFreq = 5, docCount = 5
term: except, termFreq = 14, docCount = 14
term: exception, termFreq = 7, docCount = 4
term: exceptional, termFreq = 1, docCount = 1
term: exceptionally, termFreq = 2, docCount = 1
term: exceptions, termFreq = 3, docCount = 3
term: excess, termFreq = 3, docCount = 3
term: excessive, termFreq = 4, docCount = 4
term: exchange, termFreq = 10, docCount = 7
term: exchanges, termFreq = 1, docCount = 1
term: exciting, termFreq = 1, docCount = 1
term: excludable, termFreq = 1, docCount = 1
term: excluding, termFreq = 2, docCount = 2
term: exclusion, termFreq = 18, docCount = 11
term: exclusive, termFreq = 7, docCount = 5
term: exclusively, termFreq = 3, docCount = 3
term: exect, termFreq = 1, docCount = 1
term: executable, termFreq = 6, docCount = 6
term: execute, termFreq = 19, docCount = 16
term: executed, termFreq = 23, docCount = 20
term: executes, termFreq = 7, docCount = 6
term: executing, termFreq = 11, docCount = 9
term: execution, termFreq = 122, docCount = 76
term: executions, termFreq = 2, docCount = 2
term: executive, termFreq = 21, docCount = 14
term: exemplars, termFreq = 1, docCount = 1
term: exemplified, termFreq = 3, docCount = 3
term: exercise, termFreq = 3, docCount = 3
term: exercised, termFreq = 2, docCount = 2
term: exercises, termFreq = 7, docCount = 3
term: exerts, termFreq = 1, docCount = 1
term: exhausted, termFreq = 2, docCount = 2
term: exhaustive, termFreq = 10, docCount = 10
term: exhaustively, termFreq = 2, docCount = 2
term: exhibit, termFreq = 4, docCount = 4
term: exhibited, termFreq = 3, docCount = 3
term: exhibiting, termFreq = 1, docCount = 1
term: exhibition, termFreq = 1, docCount = 1
term: exhibits, termFreq = 1, docCount = 1
term: exist, termFreq = 11, docCount = 10
term: existence, termFreq = 21, docCount = 18
term: existent, termFreq = 2, docCount = 2
term: existing, termFreq = 48, docCount = 44
term: exists, termFreq = 19, docCount = 18
term: exit, termFreq = 10, docCount = 7
term: exits, termFreq = 5, docCount = 4
term: exp, termFreq = 3, docCount = 3
term: expand, termFreq = 7, docCount = 7
term: expandable, termFreq = 1, docCount = 1
term: expanded, termFreq = 4, docCount = 4
term: expanding, termFreq = 3, docCount = 3
